declaracao_codigo,declaracao_descricao,declaracao_data_inicial,declaracao_data_final,declaracao_data_validade,declaracao_data_envio,declaracao_item_codigo,declaracao_item_residuo,declaracao_item_residuo_classe,declaracao_tipo_tecnogologia_destinacao,declaracao_item_quantidade,declaracao_item_quantidade_unidade,declaracao_pessoa_cnpj,declaracao_pessoa_nome,declaracao_pessoa_tipo,declaracao_municipio,declaracao_estado,declaracao_item_pessoa_cnpj,declaracao_item_pessoa_nome,declaracao_item_pessoa_tipo,declaracao_item_municipio,declaracao_item_estado,ano
171185,DMR Mensal RSU,2022-07-01 00:00:00.000,2022-07-31 00:00:00.000,,2022-10-06 18:11:56.428 -0300,2600083.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,82602327000360,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MEDICO,Gerador,Joinville,SC,3720956000156.0,CATARINENSE ENGENHARIA AMBIENTAL S.A.,Gerador/Destinador,Joinville,SC,2022
171186,DMR Mensal RSU,2022-08-01 00:00:00.000,2022-08-31 00:00:00.000,,2022-10-06 18:13:59.035 -0300,2600084.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,82602327000360,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MEDICO,Gerador,Joinville,SC,3720956000156.0,CATARINENSE ENGENHARIA AMBIENTAL S.A.,Gerador/Destinador,Joinville,SC,2022
172350,DMR Mensal RSU,2022-09-01 00:00:00.000,2022-09-30 00:00:00.000,2025-11-16 00:00:00.000,2022-10-31 11:07:07.851 -0300,2606130.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,1608905000101,PREFEITURA MUNICIPAL DE ERMO,Gerador,Ermo,SC,,,,,,2022
173562,DMR Mensal RSU,2022-10-01 00:00:00.000,2022-10-31 00:00:00.000,2025-11-16 00:00:00.000,2022-11-29 08:10:17.116 -0300,2610030.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,1608905000101,PREFEITURA MUNICIPAL DE ERMO,Gerador,Ermo,SC,,,,,,2022
158151,DMR Mensal RSU,2022-04-01 00:00:00.000,2022-04-30 00:00:00.000,2025-11-16 00:00:00.000,2022-05-30 08:16:08.254 -0300,1957138.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,1608905000101,PREFEITURA MUNICIPAL DE ERMO,Gerador,Ermo,SC,,,,,,2022
165577,DMR Mensal RSU,2022-07-01 00:00:00.000,2022-07-31 00:00:00.000,2025-11-16 00:00:00.000,2022-08-11 12:10:45.521 -0300,2311101.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,1608905000101,PREFEITURA MUNICIPAL DE ERMO,Gerador,Ermo,SC,,,,,,2022
160246,DMR Mensal RSU,2022-06-01 00:00:00.000,2022-06-30 00:00:00.000,2025-11-16 00:00:00.000,2022-07-07 10:39:59.007 -0300,1967607.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,1608905000101,PREFEITURA MUNICIPAL DE ERMO,Gerador,Ermo,SC,,,,,,2022
160563,DMR Mensal RSU,2022-01-01 00:00:00.000,2022-01-31 00:00:00.000,,2022-07-19 17:40:58.123 -0300,1981461.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,82602327000360,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MEDICO,Gerador,Joinville,SC,3720956000156.0,CATARINENSE ENGENHARIA AMBIENTAL S.A.,Gerador/Destinador,Joinville,SC,2022
166593,DMR Mensal RSU,2022-06-01 00:00:00.000,2022-06-30 00:00:00.000,,2022-08-18 15:10:33.751 -0300,2523905.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,27855148000164,Estância Gradiva - Centro de Reabilitação Psicossocial,Gerador,Penha,SC,95886735000170.0,Recicle Catarinense de Resíduos Ltda.,Destinador/Transportador/Gerador,Brusque,SC,2022
169542,DMR Mensal RSU,2022-08-01 00:00:00.000,2022-08-31 00:00:00.000,2025-11-16 00:00:00.000,2022-09-20 07:44:38.448 -0300,2562275.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Aterro,0.0,Ton,1608905000101,PREFEITURA MUNICIPAL DE ERMO,Gerador,Ermo,SC,,,,,,2022
