declaracao_codigo,declaracao_descricao,declaracao_data_inicial,declaracao_data_final,declaracao_data_validade,declaracao_data_envio,declaracao_item_codigo,declaracao_item_residuo,declaracao_item_residuo_classe,declaracao_tipo_tecnogologia_destinacao,declaracao_item_quantidade,declaracao_item_quantidade_unidade,declaracao_pessoa_cnpj,declaracao_pessoa_nome,declaracao_pessoa_tipo,declaracao_municipio,declaracao_estado,declaracao_item_pessoa_cnpj,declaracao_item_pessoa_nome,declaracao_item_pessoa_tipo,declaracao_item_municipio,declaracao_item_estado,ano
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850079.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II B,Aterro,15.38,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850078.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II B,Aterro,28.05,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850077.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II B,Aterro,114.01,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850076.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II B,Aterro,155.21,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850075.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II B,Aterro,16.79,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850074.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II B,Aterro,425.27,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850073.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Reciclagem,4.3,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850072.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Reciclagem,7.91,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850071.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Reciclagem,32.16,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
151839,DMR Mensal RSU,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,2022-05-24 00:00:00.000,2022-03-16 14:35:43.367 -0300,1850070.0,"200201-Resíduos de varrição,  limpeza de logradouros e vias públicas e outros serviços de limpeza urbana biodegradáveis",Classe II A,Reciclagem,43.78,Ton,239339000145,CRI - LTDA,Destinador/Transportador,Xaxim,SC,,,,,,2022
