gerador_cnpj,destinador_cnpj
86696101000164.0,84693183000168
50668722001916.0,1613101000109
95886735000170.0,44109400000105
95886735000170.0,7128161000104
6017932000123.0,6017932000123
36278205000180.0,84693183000168
46201083000188.0,82901000001441
46201083000188.0,84693183000168
72332778000451.0,76323633000100
8810422000134.0,9436576000170
7324493000164.0,84693183000168
50668722001916.0,8289417000128
36278205000180.0,84693183000753
3392348000593.0,39525677000189
31049979000116.0,4255158000163
7324493000164.0,84693183000753
4328816000108.0,79918892000164
904606000151.0,82901000000127
50668722001916.0,11148262000114
7070660000198.0,82901000001441
50668722001916.0,82892324000146
904606000151.0,3532453000157
72332778001008.0,13335068000254
16836531000159.0,95780441000160
5666925000190.0,84438381000185
904606000151.0,84693183000168
3111139000109.0,83102731000175
904606000151.0,82901000001441
50668722001916.0,95815379000102
3094629000136.0,49572629000103
18118074000192.0,73446320000143
7358761003346.0,84693183000168
4647090000168.0,14459450000151
7756675000104.0,82901000000127
32227043920.0,84693183000168
904606000151.0,84693183000753
7756675000104.0,82901000001441
3094629000136.0,83102798000100
92265990000108.0,6101313000112
50668722001916.0,11312860000187
50668722001916.0,8321661000120
83073536000164.0,84438381000185
72332778000451.0,4328816000108
8810422000134.0,11881221000132
50668722001916.0,8935681000191
5026402000189.0,80690753000105
72332778001008.0,12084484000183
83073536000164.0,36763716000198
34929226000193.0,59374918000143
8837034000147.0,8717030000125
5026402000189.0,551611000128
3094629000136.0,2279324001884
28072934000158.0,7676152000158
50668722001916.0,82901000000127
6199829000141.0,83102384000180
75821546001184.0,82901000001441
3391986000166.0,11881221000132
95886735000170.0,7260172000143
5994435000112.0,76323633000100
50668722001916.0,82901000001441
4647090000168.0,4713172000163
5026402000189.0,14863267000117
12475797000162.0,82901000000127
7101472000180.0,84693183000168
5026402000189.0,78988177000135
7756675000104.0,3817469000297
5026402000189.0,2670063000180
3094629000136.0,84693183000168
12475797000162.0,82901000001441
7101472000180.0,84693183000753
8837034000147.0,20002225000194
95886735000170.0,27855148000164
3938048000133.0,82901000000127
7067001000100.0,3777341000832
12309733000191.0,82901000000127
50668722001916.0,12092636000190
77912053000103.0,84693183000168
84963370000114.0,84963370000114
50668722001916.0,11607006000148
4647090000168.0,14863267000117
72332778001008.0,9901434904
93622983000340.0,84693183000168
12309733000191.0,82901000001441
3392348000593.0,81362618000101
50668722001916.0,8585935000199
37549597000138.0,4255158000163
29166055920.0,29166055920
8202444000111.0,4255158000163
83631051000149.0,13774839000129
50668722001916.0,82892282002944
50668722001916.0,82892266000150
3094629000136.0,60526977020951
12475797000162.0,6816506000150
6328300000180.0,4572787000117
3094629000136.0,2279324002007
6199829000141.0,8909439000143
904606000151.0,7541596000186
82846726000104.0,5366444002960
