declaracao_item_pessoa_nome,declaracao_item_pessoa_tipo,declaracao_item_municipio
AHS INDUSTRIA E SERVICOS LTDA,Gerador/Transportador/Destinador,Araquari
AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA,Destinador/Gerador,Itajaí
AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA,Destinador/Gerador,Joinville
AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA,Transportador/Gerador,Itajaí
AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA.,Destinador/Gerador,Xanxerê
AMBSERV TRATAMENTO DE RESIDUOS LTDA,Destinador/Transportador/Gerador,São José dos Pinhais
ARPAPI INDUSTRIA MECANICA LTDA,Gerador/Transportador/Destinador,Caçador
ARTRIC SOLUCOES AMBIENTAIS LTDA,Destinador/Transportador/Gerador,Araquari
Alisul Alimentos SA,Gerador,Itajaí
Almeida Comercio Atacadista de Resíduos de Papel e Papelão Ltda,Gerador/Transportador/Destinador,São José
Ambipar Environment Circular Economy RM SA,Gerador/Transportador/Destinador,São José dos Campos
Autarquia Municipal de Saneamento de Fraiburgo,Destinador/Transportador/Gerador,Fraiburgo
Auto Demolidora Torrense LTDA,Destinador/Transportador/Gerador,Torres
BLOCO INDÚSTRIA CERÂMICA S/A,Destinador,Campo do Tenente
Belliville Comércio de Sucatas e Transporte de Resíduos Industriais Ltda,Destinador/Transportador/Gerador,Joinville
Berneck S/A Painéis e Serrados,Gerador/Transportador/Destinador,Curitibanos
Blumeterra Comércio e Serviços Ltda,Gerador/Transportador/Destinador,Otacílio Costa
Brasil Recicle Ltda,Gerador/Transportador/Destinador,Tubarão
Brooks Ambiental Ltda,Destinador/Transportador/Gerador,Palhoça
CAJ - SES Jarivatuba,Gerador/Destinador,Joinville
CAPS II,Gerador,Criciúma
CATARINENSE ENGENHARIA AMBIENTAL S.A.,Gerador/Destinador,Joinville
CERAMICA TIJOLAÇO LTDA ME,Destinador/Gerador,Itajaí
CETRIC S.A. ,Destinador/Transportador/Gerador,Chapecó
CONSTRULACER COMERCIO E CONSTRUÇOES LACERDÓPOLIS EIRELI,Gerador,Lacerdópolis
CONTINENTAL OBRAS E SERVIÇOS LTDA,Destinador/Transportador/Gerador,Xanxerê
COOPERATIVA DE RECICLAGEM DE CACADOR E REGIAO - RECICLA CACADOR,Gerador/Destinador,Caçador
CR Comercio de Metais LTDA,Gerador/Transportador/Destinador,Araquari
CRM Fundição de Metais e Comércio de Equipamentos Eletrônicos do Brasil Ltda,Destinador/Gerador,São José
Cerâmica Princesa e Transporte Ltda.,Destinador,Rio do Sul
Coleta de Lixo Transrecol LTDA ME ,Gerador/Transportador/Destinador,Jaguaruna
Composul Compostagem LTDA ME,Destinador/Transportador/Gerador,Içara
Consórcio Intermunicipal de Resíduos Sólidos Urbanos da Região Sul,Gerador/Transportador/Destinador,Urussanga
Consórcio Intermunicipal do Médio Vale do Itajaí,Destinador/Gerador,Timbó
Cooperativa de Reciclagem Rio América - Cooperamérica,Destinador,Urussanga
Coretrans Comercial Ltda.,Destinador/Transportador/Gerador,Joinville
Desentupidora Florianópolis LTDA - EPP,Gerador/Transportador/Destinador,Florianópolis
Durín Indústria de Plásticos Ltda,Gerador,Araquari
"ECO 1000 RECICLAGEM DE SUCATAS, COMERCIO E SERVICOS ADMINISTRATIVOS E EMPRESARIAIS EIRELI",Gerador/Transportador/Destinador,Rio Claro
ECOEFICIÊNCIA SOLUÇÕES AMBIENTAIS LTDA,Gerador/Transportador/Destinador,São José
ESTAMPARIA DALFOVO LTDA,Gerador,Blumenau
Ecofaq Gerenciamento de Resíduos Ltda,Destinador/Transportador/Gerador,Cocal do Sul
Edson Pinzegher Ltda,Gerador/Transportador/Destinador,Caçador
FARMA REDE NEWS,Gerador,Itajaí
FARMÁCIA PÚBLICA,Gerador,Timbé do Sul
FMS DE RIO DAS ANTAS CENTRAL,Gerador,Rio das Antas
FMS DE RIO DAS ANTAS CENTRAL,Gerador,Preencher
FORMULA AMBIENTAL LTDA ME,Gerador/Transportador/Destinador,Indaial
FUNDO MUNICIPAL DE SAUDE DE LONTRAS,Gerador,Lontras
Farmacia Basica Major Vieira,Gerador,Major Vieira
Fras-le,Gerador/Destinador,Caxias do Sul
Fundo Municipal de Saúde,Gerador,Irineópolis
Fundo Municipal de Saúde de Paulo Lopes  (UNIDADE LUCIA ELENA DOS SANTOS),Gerador,Paulo Lopes
Fundo Municipal de Saúde de Santa Rosa do Sul,Gerador,Santa Rosa do Sul
GERDAU AÇOS LONGOS SA,Destinador/Gerador,Araquari
GR SOLUÇÕES AMBIENTAIS LTDA,Destinador/Transportador/Gerador,Canoinhas
GUARARAPES PAINEIS S/A,Destinador/Gerador,Caçador
Ghisi Ambiental Ltda,Destinador/Transportador/Gerador,Araquari
HERA SUL TRATAMENTO RESÍDUOS LTDA.,Destinador/Transportador/Gerador,Rio Negrinho
HS SERVIÇO AMBIENTAL LTDA EPP,Destinador/Transportador/Gerador,São José
INCOBIO INDUSTRIA E COMERCIO DE BIOMASSA COMBUSTIVEL LTDA,Destinador/Transportador/Gerador,Concórdia
Industria de Compensados Guararapes Ltda,Gerador/Transportador/Destinador,Santa Cecília
Industria e Comercio de Molduras Santa Luzia Ltda,Destinador/Transportador/Gerador,Joinville
Irani Papel e Embalagem S.A.,Gerador/Destinador,Vargem Bonita
Irineu Torezan,Destinador/Transportador,Navegantes
JDI INDUSTRIA E COMERCIO DE BIOMASSA LTDA,Destinador/Transportador,Rio Negro
JR COMERCIO DE METAIS LTDA.,Destinador/Transportador/Gerador,Araquari
LABORATÓRIO ANALISES CLINICAS FLOR LTDA,Gerador,Balneário Camboriú
LWART SOLUÇÕES AMBIENTAIS S.A,Destinador/Transportador,Lençóis Paulista
Laboratório de Análises Clínicas Schutz Ltda,Gerador,Timbó
Lenoir José Bogo,Destinador/Gerador,Guaramirim
MARCIO PALLETS,Destinador/Transportador,Imaruí
MEAD JOHNSON DO BRASIL COMERCIO E IMPORTACAO DE PRODUTOS DE NUTRICAO LTDA,Gerador,Itajaí
MEIOESTE AMBIENTAL LTDA,Destinador/Transportador,Caçador
MUNICIPIO DE ABDON BATISTA,Gerador,Abdon Batista
MUNICIPIO DE BALNEARIO ARROIO DO SILVA,Gerador,Balneário Arroio do Silva
MUNICIPIO DE BALNEARIO CAMBORIU,Gerador,Balneário Camboriú
MUNICIPIO DE BALNEARIO RINCAO,Gerador,Balneário Rincão
MUNICIPIO DE BARRA VELHA,Gerador,Barra Velha
MUNICIPIO DE BELA VISTA DO TOLDO,Gerador,Bela Vista do Toldo
MUNICIPIO DE BRUSQUE ,Gerador/Transportador,Brusque
MUNICIPIO DE CAMPO DO TENENTE,Gerador/Transportador,Campo do Tenente
MUNICIPIO DE CAMPOS NOVOS,Gerador,Campos Novos
MUNICIPIO DE DONA EMMA,Gerador,Dona Emma
MUNICIPIO DE IMBUIA,Gerador/Transportador,Imbuia
MUNICIPIO DE IPUMIRIM,Gerador,Ipumirim
MUNICIPIO DE MIRIM DOCE,Gerador,Mirim Doce
MUNICIPIO DE MORRO GRANDE,Gerador,Morro Grande
MUNICIPIO DE PAINEL,Gerador,Painel
MUNICIPIO DE PINHALZINHO,Gerador,Pinhalzinho
MUNICIPIO DE QUILOMBO,Gerador,Quilombo
MUNICIPIO DE SALTO VELOSO,Gerador,Salto Veloso
MUNICIPIO DE SÃO JOÃO DO ITAPERIÚ,Gerador,São João do Itaperiú
MUNICIPIO DE URIBICI,Gerador,Urubici
MUNICÍPIO DE ANGELINA,Gerador/Destinador,Angelina
MUNICÍPIO DE BRAÇO DO TROMBUDO,Gerador,Braço do Trombudo
MUNICÍPIO DE GRÃO-PARÁ (PREFEITURA),Gerador,Grão Pará
MUNICÍPIO DE GUARACIABA - Prefeitura Municipal,Gerador,Guaraciaba
MUNICÍPIO DE IMBITUBA,Gerador/Transportador/Destinador,Imbituba
MUNICÍPIO DE ITAPOÁ,Gerador,Itapoá
MUNICÍPIO DE ITÁ,Gerador,Itá
MUNICÍPIO DE LAURENTINO,Gerador,Laurentino
